date,name,gross,recovered,net,classification,technique,chains,in_scope_chain,bridge_hack,target_type,is_defi_protocol,defillamaId,category,sector
2024-06-10,UwU Lend,20000000.0,0.0,20000000.0,Ecosystem,Flashloan Price Oracle Attack,Ethereum,True,False,DeFi Protocol,True,2111.0,Lending,Lending
2024-06-11,YOLO Games,1500000.0,0.0,1500000.0,Protocol Logic,Access Control Exploit,Blast,True,False,DeFi Protocol,True,,Gaming,Other
2024-06-13,Holograph,6700000.0,0.0,6700000.0,Protocol Logic,Infinite Mint and Dump,Ethereum,True,False,DeFi Protocol,True,,,Other
2024-06-13,UwU Lend,3700000.0,0.0,3700000.0,Ecosystem,Flashloan Price Oracle Attack,Ethereum,True,False,DeFi Protocol,True,2111.0,Lending,Lending
2024-06-20,OKX NFT Aggregator,14000.0,0.0,14000.0,Protocol Logic,Access Control Exploit,BSC,True,False,CEX,False,,,Other
2024-06-22,BtcTurk,54000000.0,0.0,54000000.0,,Private Key Compromised (Unknown Method),,False,False,CEX,False,,,Other
2024-07-02,Bittensor,8000000.0,0.0,8000000.0,Infrastructure,Private Key Compromised (Supply Chain Attack),,False,False,DeFi Protocol,True,4547.0,Chain,Bridge
2024-07-12,CoinStats,2200000.0,0.0,2200000.0,Infrastructure,Private Key Compromised (Unknown Method),,False,False,Other,False,,,Other
2024-07-12,Dough Finance,1960000.0,0.0,1960000.0,Protocol Logic,Unvalidated call data exploit,Ethereum,True,False,DeFi Protocol,True,5109.0,Lending,Lending
2024-07-15,Minterest,1400000.0,0.0,1400000.0,Protocol Logic,Reentrancy,Mantle,True,False,DeFi Protocol,True,,Lending,Lending
2024-07-16,LiFi Finance,9730000.0,0.0,9730000.0,Protocol Logic,Router Exploit via Infinite Approvals,"zkSync Era,Linea,Metis",True,True,DeFi Protocol,True,,,Bridge
2024-07-18,WazirX: India,234900000.0,0.0,234900000.0,Infrastructure,Safe Multisig wallet Phishing Exploit,Ethereum,True,False,CEX,False,,,Other
2024-07-19,Rho Markets,7600000.0,0.0,7600000.0,Protocol Logic,Price Oracle Manipulation,Scroll,True,False,DeFi Protocol,True,4808.0,Lending,Lending
2024-07-22,ETHTrustFund,2100000.0,0.0,2100000.0,Rugpull,Transferred Treasury to Mixers,Base,True,False,DeFi Protocol,True,,,Other
2024-07-23,DeltaPrime,1000000.0,0.0,1000000.0,Protocol Logic,,Arbitrum,True,False,DeFi Protocol,True,2479.0,Leveraged Farming,Other
2024-07-31,Monoswap,1300000.0,0.0,1300000.0,Infrastructure,Private Key Compromised (Malware),Blast,True,False,DeFi Protocol,True,,,Other
2024-07-31,Terra 2.0,5000000.0,0.0,5000000.0,Infrastructure,IBC hooks exploit,Terra2,True,False,DeFi Protocol,True,,,Other
2024-08-01,Convergence,210000.0,0.0,210000.0,Protocol Logic,Missing Input Validation,Ethereum,True,False,DeFi Protocol,True,,Dexs,DEX
2024-08-06,Ronin Bridge,12000000.0,0.0,12000000.0,Protocol Logic,MEV bot manipulation exploit,Ethereum,True,True,DeFi Protocol,True,4440.0,Canonical Bridge,Bridge
2024-08-07,Nexera,1800000.0,0.0,1800000.0,Protocol Logic,Ownership Override Attack,Ethereum,True,False,DeFi Protocol,True,,,Other
2024-08-12,PolyNetwork,5000000.0,0.0,5000000.0,Protocol Logic,Reentrancy,PolyNetwork,False,True,DeFi Protocol,True,,Bridge,Bridge
2024-09-03,Penpie,27000000.0,0.0,27000000.0,Protocol Logic,Reentrancy,Ethereum,True,False,DeFi Protocol,True,3083.0,Yield,Yield
2024-09-10,Indodax,25200000.0,0.0,25200000.0,Infrastructure,Access Control Exploit,"Ethereum,Polygon,Optimism",True,False,CEX,False,,CEX,Other
2024-09-16,DeltaPrime,5980000.0,0.0,5980000.0,Protocol Logic,Private Key Compromised (Unknown Method),Arbitrum,True,False,DeFi Protocol,True,2479.0,Leveraged Farming,Other
