id,date,name,category,chain,funds_lost,funds_recovered,funds_returned,scam_type,scam_parent,year
3716,2023-09-24,HTX,CeFi,,7912519.0,0.0,7912519.0,Access Control,Exploit/Access control,2023
3717,2023-09-23,DUO,Token,,334330.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3718,2023-10-02,EigenLayer,Token,,821230.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3719,2023-09-27,XSD Token,Token,,12000.0,0.0,0.0,Flash Loan Attack,Exploit/Flash Loan Attack,2023
3720,2023-09-21,Yzer Token,Token,,28960.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3721,2023-09-21,BNBpay,Token,,53973.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3722,2023-09-15,Friendchips.tech,Token,,39276.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3723,2023-10-03,Stanley the Bugman,Token,,113758.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3724,2023-09-30,Raichu Thunderstone,Token,,14964.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3725,2023-10-06,CommEX,Token,,134077.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3726,2023-10-02,Ninja Gaiden,Token,,88794.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3727,2023-10-07,Stars Arena,Other,,2974530.0,0.0,2677077.0,Reentrancy,Exploit/Reentrancy,2023
3728,2023-10-10,Bitcoin BSC,Token,,35813.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3729,2023-10-10,FSL,Token,,1681340.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3730,2023-10-11,MarbleX,Token,,161784.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3731,2023-10-12,2049,Token,,82471.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3732,2023-10-13,Big Time,Token,,168699.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3733,2023-10-16,IVY,Token,,1820319.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3734,2023-10-17,Huge Gas Fee Draining,Other,,156190.0,0.0,0.0,Other,Exploit/Other,2023
3735,2023-07-08,Fake DAI Token,Token,,9815.0,0.0,0.0,Other,Exit Scam/Other,2023
3736,2023-10-19,Openfabric AI,Token,,58644.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3737,2023-10-18,L7 DEX,Token,,160866.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3738,2023-09-20,The Honest Ventures,Other,,57765.0,0.0,0.0,Other,Exit Scam/Other,2023
3739,2023-10-17,Fantom Foundation,Other,,7359282.0,0.0,0.0,Access Control,Exploit/Access control,2023
3740,2023-10-20,SOMESING,Token,,166715.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3741,2023-10-20,Celestia,Token,,160731.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3742,2023-10-23,Julia,Token,,72474.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3743,2023-10-24,Safereum,Token,,1306583.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3744,2023-10-24,QuillDex,Token,,30000.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3745,2023-10-25,Mina Protocol,Token,,106395.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3746,2023-10-25,LINEA,Token,,740809.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3747,2023-10-18,Hope Lend,Other,,834616.0,0.0,0.0,Other,Exploit/Other,2023
3748,2023-10-26,Memecoin,Token,,188095.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3749,2023-10-26,iSharesBitcoin,Token,,87947.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3750,2023-10-30,TITANX,Token,,82238.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3751,2023-10-30,MEMEPAD,Token,,80372.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3752,2023-10-30,Memecoin,Token,,79157.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3753,2022-07-26,APE,Token,,94216.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2022
3754,2022-05-04,DOGETAMA,Token,,22041.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2022
3755,2021-08-08,Elongate Deluxe,Token,,230455.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2021
